X,Y,F
-1.905511811023622,-0.8976377952755905,0.936703885979185
-1.905511811023622,-0.8661417322834646,0.9289184277206136
-1.905511811023622,-0.8346456692913387,0.920214803948127
-1.905511811023622,-0.8031496062992125,0.9104949112104105
-1.905511811023622,-0.7716535433070866,0.8996527659236135
-1.905511811023622,-0.7401574803149606,0.8875745499788363
-1.905511811023622,-0.7086614173228347,0.8741388693117399
-1.905511811023622,-0.6771653543307088,0.8592172812264606
-1.905511811023622,-0.6456692913385826,0.8426751524192376
-1.905511811023622,-0.6141732283464567,0.8243729141045265
-1.905511811023622,-0.5826771653543308,0.8041677822414304
-1.905511811023622,-0.5511811023622046,0.7819160081469033
-1.905511811023622,-0.5196850393700787,0.7574757160849875
-1.905511811023622,-0.4881889763779528,0.7307103679321623
-1.905511811023622,-0.45669291338582685,0.7014928690013364
-1.905511811023622,-0.4251968503937009,0.669710292196431
-1.905511811023622,-0.39370078740157477,0.6352691492833221
-1.905511811023622,-0.36220472440944884,0.5981010788965987
-1.905511811023622,-0.3307086614173229,0.5581687534495782
-1.905511811023622,-0.29921259842519676,0.5154717361093184
-1.905511811023622,-0.26771653543307083,0.47005195161176816
-1.905511811023622,-0.2362204724409449,0.42199838032802145
-1.905511811023622,-0.20472440944881898,0.37145055449799314
-1.905511811023622,-0.17322834645669305,0.3186004397688762
-1.905511811023622,-0.1417322834645669,0.26369233292747435
-1.905511811023622,-0.11023622047244097,0.2070205024486603
-1.905511811023622,-0.07874015748031504,0.14892444014551262
-1.905511811023622,-0.04724409448818889,0.08978176993786863
-1.905511811023622,-0.015748031496062964,0.029999056003329052
-1.905511811023622,0.015748031496062964,-0.029999056003329052
-1.905511811023622,0.04724409448818889,-0.08978176993786863
-1.905511811023622,0.07874015748031482,-0.1489244401455122
-1.905511811023622,0.11023622047244075,-0.20702050244865988
-1.905511811023622,0.14173228346456668,-0.2636923329274739
-1.905511811023622,0.17322834645669305,-0.3186004397688762
-1.905511811023622,0.20472440944881898,-0.37145055449799314
-1.905511811023622,0.2362204724409449,-0.42199838032802145
-1.905511811023622,0.26771653543307083,-0.47005195161176816
-1.905511811023622,0.29921259842519676,-0.5154717361093184
-1.905511811023622,0.3307086614173227,-0.558168753449578
-1.905511811023622,0.3622047244094486,-0.5981010788965986
-1.905511811023622,0.393700787401575,-0.6352691492833223
-1.905511811023622,0.4251968503937009,-0.669710292196431
-1.905511811023622,0.45669291338582685,-0.7014928690013364
-1.905511811023622,0.4881889763779528,-0.7307103679321623
-1.905511811023622,0.5196850393700787,-0.7574757160849875
-1.905511811023622,0.5511811023622046,-0.7819160081469033
-1.905511811023622,0.5826771653543306,-0.8041677822414302
-1.905511811023622,0.6141732283464565,-0.8243729141045264
-1.905511811023622,0.6456692913385824,-0.8426751524192376
-1.905511811023622,0.6771653543307088,-0.8592172812264606
-1.905511811023622,0.7086614173228347,-0.8741388693117399
-1.905511811023622,0.7401574803149606,-0.8875745499788363
-1.905511811023622,0.7716535433070866,-0.8996527659236135
-1.905511811023622,0.8031496062992125,-0.9104949112104105
-1.905511811023622,0.8346456692913384,-0.920214803948127
-1.905511811023622,0.8661417322834644,-0.9289184277206136
-1.905511811023622,0.8976377952755907,-0.9367038859791851
-1.905511811023622,0.9291338582677167,-0.9436615205637476
-1.905511811023622,0.9606299212598426,-0.9498741526410094
-1.905511811023622,0.9921259842519685,-0.9554174111996444
-1.905511811023622,1.0236220472440944,-0.9603601205543064
-1.905511811023622,1.0551181102362204,-0.964764723938644
-1.905511811023622,1.0866141732283463,-0.9686877251568062
-1.905511811023622,1.1181102362204722,-0.9721801344186672
-1.905511811023622,1.1496062992125982,-0.9752879079496514
-1.905511811023622,1.1811023622047245,-0.9780523738067998
-1.905511811023622,1.2125984251968505,-0.9805106386236034
-1.905511811023622,1.2440944881889764,-0.982695971824169
-1.905511811023622,1.2755905511811023,-0.9846381652663194
-1.905511811023622,1.3070866141732282,-0.986363867361091
-1.905511811023622,1.3385826771653542,-0.9878968915330506
-1.905511811023622,1.37007874015748,-0.9892584994842085
