X_min,X_max,Y_min,Y_max,Depth
1.515625,1.53125,1.515625,1.53125,8
1.5078125,1.515625,1.5234375,1.53125,9
1.5,1.5078125,1.5234375,1.53125,9
1.5,1.5078125,1.515625,1.5234375,9
1.5078125,1.515625,1.515625,1.5234375,9
1.5,1.515625,1.5,1.515625,8
1.52734375,1.53125,1.51171875,1.515625,10
1.5234375,1.52734375,1.51171875,1.515625,10
1.5234375,1.52734375,1.5078125,1.51171875,10
1.52734375,1.53125,1.5078125,1.51171875,10
1.515625,1.5234375,1.5078125,1.515625,9
1.515625,1.5234375,1.5,1.5078125,9
1.5234375,1.53125,1.5,1.5078125,9
1.546875,1.5625,1.515625,1.53125,8
1.5390625,1.546875,1.5234375,1.53125,9
1.53125,1.5390625,1.5234375,1.53125,9
1.53125,1.5390625,1.515625,1.5234375,9
1.5390625,1.546875,1.515625,1.5234375,9
1.5390625,1.546875,1.5078125,1.515625,9
1.53125,1.5390625,1.5078125,1.515625,9
1.53125,1.5390625,1.5,1.5078125,9
1.5390625,1.546875,1.5,1.5078125,9
1.546875,1.5625,1.5,1.515625,8
1.609375,1.625,1.546875,1.5625,8
1.59375,1.609375,1.546875,1.5625,8
1.59375,1.609375,1.53125,1.546875,8
1.609375,1.625,1.53125,1.546875,8
1.578125,1.59375,1.546875,1.5625,8
1.5703125,1.578125,1.5546875,1.5625,9
1.5625,1.5703125,1.5546875,1.5625,9
1.5625,1.5703125,1.546875,1.5546875,9
1.5703125,1.578125,1.546875,1.5546875,9
1.5625,1.578125,1.53125,1.546875,8
1.578125,1.59375,1.53125,1.546875,8
1.578125,1.59375,1.515625,1.53125,8
1.5625,1.578125,1.515625,1.53125,8
1.5625,1.578125,1.5,1.515625,8
1.578125,1.59375,1.5,1.515625,8
1.59375,1.625,1.5,1.53125,7
1.6875,1.75,1.5625,1.625,6
1.671875,1.6875,1.609375,1.625,8
1.65625,1.671875,1.609375,1.625,8
1.65625,1.671875,1.59375,1.609375,8
1.671875,1.6875,1.59375,1.609375,8
1.640625,1.65625,1.609375,1.625,8
1.6328125,1.640625,1.6171875,1.625,9
1.625,1.6328125,1.6171875,1.625,9
1.625,1.6328125,1.609375,1.6171875,9
1.6328125,1.640625,1.609375,1.6171875,9
1.625,1.640625,1.59375,1.609375,8
1.640625,1.65625,1.59375,1.609375,8
